store_id,product_id,quantity
1,1,27
1,2,5
1,3,6
1,4,23
1,5,22
1,6,0
1,7,8
1,8,0
1,9,11
1,10,15
1,11,8
1,12,16
1,13,13
1,14,8
1,15,3
1,16,4
1,17,2
1,18,16
1,19,4
1,20,26
1,21,24
1,22,29
1,23,9
1,24,10
1,25,10
1,26,16
1,27,21
1,28,20
1,29,13
1,30,30
1,31,2
1,32,0
1,33,10
1,34,2
1,35,18
1,36,26
1,37,12
1,38,13
1,39,2
1,40,24
1,41,10
1,42,0
1,43,2
1,44,1
1,45,15
1,46,19
1,47,21
1,48,5
1,49,8
1,50,29
1,51,2
1,52,18
1,53,17
1,54,11
1,55,11
1,56,15
1,57,1
1,58,1
1,59,22
1,60,19
1,61,30
1,62,21
1,63,4
1,64,30
1,65,10
1,66,12
1,67,19
1,68,30
1,69,4
1,70,3
1,71,25
1,72,9
1,73,7
1,74,9
1,75,23
1,76,15
1,77,16
1,78,13
1,79,13
1,80,11
1,81,25
1,82,1
1,83,13
1,84,11
1,85,23
1,86,19
1,87,27
1,88,7
1,89,9
1,90,4
1,91,8
1,92,0
1,93,22
1,94,6
1,95,25
1,96,20
1,97,20
1,98,28
1,99,28
1,100,15
1,101,17
1,102,9
1,103,13
1,104,25
1,105,7
1,106,30
1,107,20
1,108,15
1,109,30
1,110,1
1,111,11
1,112,17
1,113,24
1,114,3
1,115,10
1,116,24
1,117,15
1,118,12
1,119,17
1,120,23
1,121,19
1,122,22
1,123,8
1,124,23
1,125,22
1,126,28
1,127,12
1,128,11
1,129,21
1,130,22
1,131,20
1,132,1
1,133,9
1,134,26
1,135,15
1,136,12
1,137,12
1,138,6
1,139,17
1,140,3
1,141,21
1,142,22
1,143,19
1,144,7
1,145,5
1,146,6
1,147,8
1,148,6
1,149,1
1,150,22
1,151,24
1,152,12
1,153,25
1,154,13
1,155,8
1,156,13
1,157,25
1,158,11
1,159,18
1,160,0
1,161,17
1,162,14
1,163,0
1,164,15
1,165,16
1,166,23
1,167,28
1,168,0
1,169,25
1,170,14
1,171,3
1,172,3
1,173,2
1,174,26
1,175,2
1,176,11
1,177,19
1,178,23
1,179,16
1,180,5
1,181,19
1,182,28
1,183,11
1,184,4
1,185,3
1,186,1
1,187,16
1,188,30
1,189,6
1,190,21
1,191,21
1,192,20
1,193,30
1,194,24
1,195,1
1,196,26
1,197,22
1,198,1
1,199,2
1,200,27
1,201,16
1,202,5
1,203,4
1,204,23
1,205,9
1,206,10
1,207,27
1,208,13
1,209,22
1,210,25
1,211,13
1,212,17
1,213,14
1,214,4
1,215,1
1,216,11
1,217,11
1,218,27
1,219,30
1,220,4
1,221,7
1,222,12
1,223,3
1,224,16
1,225,24
1,226,18
1,227,19
1,228,22
1,229,27
1,230,7
1,231,25
1,232,5
1,233,5
1,234,13
1,235,7
1,236,18
1,237,26
1,238,20
1,239,28
1,240,17
1,241,17
1,242,10
1,243,11
1,244,10
1,245,3
1,246,0
1,247,15
1,248,14
1,249,27
1,250,3
1,251,2
1,252,28
1,253,16
1,254,24
1,255,13
1,256,20
1,257,17
1,258,25
1,259,10
1,260,20
1,261,3
1,262,6
1,263,21
1,264,16
1,265,28
1,266,1
1,267,27
1,268,23
1,269,22
1,270,16
1,271,6
1,272,14
1,273,20
1,274,19
1,275,28
1,276,7
1,277,13
1,278,17
1,279,17
1,280,23
1,281,11
1,282,6
1,283,10
1,284,27
1,285,20
1,286,28
1,287,2
1,288,9
1,289,2
1,290,8
1,291,9
1,292,30
1,293,18
1,294,3
1,295,24
1,296,9
1,297,22
1,298,26
1,299,18
1,300,7
1,301,10
1,302,0
1,303,12
1,304,15
1,305,23
1,306,21
1,307,17
1,308,23
1,309,7
1,310,18
1,311,20
1,312,23
1,313,14
2,1,14
2,2,16
2,3,28
2,4,2
2,5,1
2,6,11
2,7,8
2,8,1
2,9,17
2,10,13
2,11,21
2,12,2
2,13,1
2,14,18
2,15,6
2,16,20
2,17,3
2,18,13
2,19,15
2,20,20
2,21,16
2,22,0
2,23,12
2,24,16
2,25,18
2,26,2
2,27,10
2,28,25
2,29,29
2,30,17
2,31,10
2,32,13
2,33,8
2,34,24
2,35,25
2,36,15
2,37,5
2,38,18
2,39,28
2,40,15
2,41,6
2,42,16
2,43,2
2,44,24
2,45,13
2,46,18
2,47,0
2,48,20
2,49,4
2,50,7
2,51,8
2,52,23
2,53,19
2,54,6
2,55,5
2,56,20
2,57,27
2,58,15
2,59,17
2,60,1
2,61,20
2,62,4
2,63,5
2,64,30
2,65,16
2,66,22
2,67,8
2,68,23
2,69,22
2,70,6
2,71,30
2,72,1
2,73,20
2,74,23
2,75,11
2,76,20
2,77,25
2,78,4
2,79,29
2,80,27
2,81,19
2,82,4
2,83,21
2,84,22
2,85,6
2,86,24
2,87,14
2,88,8
2,89,8
2,90,26
2,91,0
2,92,22
2,93,22
2,94,2
2,95,10
2,96,22
2,97,15
2,98,14
2,99,24
2,100,12
2,101,4
2,102,12
2,103,1
2,104,26
2,105,3
2,106,7
2,107,29
2,108,29
2,109,25
2,110,7
2,111,6
2,112,1
2,113,7
2,114,12
2,115,19
2,116,17
2,117,18
2,118,25
2,119,23
2,120,16
2,121,3
2,122,11
2,123,18
2,124,4
2,125,10
2,126,13
2,127,12
2,128,28
2,129,21
2,130,17
2,131,9
2,132,6
2,133,28
2,134,13
2,135,30
2,136,8
2,137,1
2,138,16
2,139,24
2,140,13
2,141,28
2,142,24
2,143,12
2,144,4
2,145,23
2,146,3
2,147,13
2,148,27
2,149,22
2,150,7
2,151,2
2,152,21
2,153,21
2,154,9
2,155,21
2,156,8
2,157,28
2,158,0
2,159,30
