order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2
2,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6
3,523,4,2016-01-02,2016-01-05,2016-01-03,2,7
4,175,4,2016-01-03,2016-01-04,2016-01-05,1,3
5,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6
6,94,4,2016-01-04,2016-01-07,2016-01-05,2,6
7,324,4,2016-01-04,2016-01-07,2016-01-05,2,6
8,1204,4,2016-01-04,2016-01-05,2016-01-05,2,7
9,60,4,2016-01-05,2016-01-08,2016-01-08,1,2
10,442,4,2016-01-05,2016-01-06,2016-01-06,2,6
11,1326,4,2016-01-05,2016-01-08,2016-01-07,2,7
12,91,4,2016-01-06,2016-01-08,2016-01-09,1,2
13,873,4,2016-01-08,2016-01-11,2016-01-11,2,6
14,258,4,2016-01-09,2016-01-11,2016-01-12,1,3
15,450,4,2016-01-09,2016-01-10,2016-01-12,2,7
16,552,4,2016-01-12,2016-01-15,2016-01-15,1,3
17,1175,4,2016-01-12,2016-01-14,2016-01-14,1,3
18,541,4,2016-01-14,2016-01-17,2016-01-15,1,3
19,696,4,2016-01-14,2016-01-17,2016-01-16,1,2
20,923,4,2016-01-14,2016-01-16,2016-01-17,1,2
21,1250,4,2016-01-15,2016-01-16,2016-01-18,2,6
22,1035,4,2016-01-16,2016-01-18,2016-01-17,1,2
23,1149,4,2016-01-16,2016-01-19,2016-01-19,1,2
24,636,4,2016-01-18,2016-01-20,2016-01-19,2,7
25,657,4,2016-01-18,2016-01-21,2016-01-21,2,6
26,1280,4,2016-01-18,2016-01-21,2016-01-19,2,7
27,57,4,2016-01-19,2016-01-21,2016-01-20,2,7
28,252,4,2016-01-19,2016-01-20,2016-01-21,2,6
29,437,4,2016-01-20,2016-01-22,2016-01-21,2,6
30,1348,4,2016-01-20,2016-01-21,2016-01-21,2,6
31,1238,4,2016-01-20,2016-01-22,2016-01-22,3,8
32,1259,4,2016-01-21,2016-01-24,2016-01-22,1,3
33,236,4,2016-01-21,2016-01-22,2016-01-22,2,6
34,80,4,2016-01-22,2016-01-25,2016-01-23,2,6
35,813,4,2016-01-22,2016-01-25,2016-01-24,2,7
36,1321,4,2016-01-23,2016-01-24,2016-01-24,2,6
37,164,4,2016-01-25,2016-01-28,2016-01-26,2,6
38,583,4,2016-01-25,2016-01-27,2016-01-26,2,7
39,1296,4,2016-01-25,2016-01-26,2016-01-26,2,7
40,348,4,2016-01-27,2016-01-28,2016-01-29,1,3
41,979,4,2016-01-27,2016-01-30,2016-01-29,2,6
42,1095,4,2016-01-27,2016-01-28,2016-01-30,2,7
43,1434,4,2016-01-27,2016-01-28,2016-01-30,2,7
44,861,4,2016-01-28,2016-01-31,2016-01-30,2,7
45,1220,4,2016-01-28,2016-01-31,2016-01-31,2,7
46,746,4,2016-01-29,2016-01-31,2016-01-31,2,7
47,1234,4,2016-01-29,2016-01-30,2016-01-31,2,7
48,1012,4,2016-01-30,2016-02-01,2016-02-02,2,7
49,608,4,2016-01-31,2016-02-01,2016-02-02,2,6
50,872,4,2016-01-31,2016-02-03,2016-02-02,3,8
51,1047,4,2016-02-01,2016-02-02,2016-02-03,2,7
52,767,4,2016-02-03,2016-02-04,2016-02-05,1,2
53,965,4,2016-02-03,2016-02-04,2016-02-05,2,6
54,535,4,2016-02-04,2016-02-07,2016-02-07,2,7
55,1173,4,2016-02-04,2016-02-07,2016-02-06,2,6
56,1241,4,2016-02-04,2016-02-06,2016-02-07,2,6
57,1305,4,2016-02-04,2016-02-06,2016-02-06,2,7
58,504,4,2016-02-05,2016-02-07,2016-02-07,2,6
59,563,4,2016-02-05,2016-02-07,2016-02-06,2,7
60,151,4,2016-02-06,2016-02-08,2016-02-07,1,3
61,277,4,2016-02-06,2016-02-09,2016-02-09,2,7
62,208,4,2016-02-07,2016-02-10,2016-02-10,1,2
63,1075,4,2016-02-07,2016-02-09,2016-02-09,2,7
64,1185,4,2016-02-07,2016-02-08,2016-02-09,2,6
65,996,4,2016-02-08,2016-02-09,2016-02-11,2,6
66,1253,4,2016-02-09,2016-02-12,2016-02-12,2,7
67,526,4,2016-02-09,2016-02-11,2016-02-10,3,8
68,381,4,2016-02-10,2016-02-11,2016-02-13,2,6
69,1413,4,2016-02-10,2016-02-12,2016-02-11,2,7
70,50,3,2016-02-11,2016-02-11,NULL,3,9
71,797,4,2016-02-11,2016-02-14,2016-02-12,2,7
72,1386,4,2016-02-12,2016-02-15,2016-02-13,1,2
73,612,4,2016-02-12,2016-02-15,2016-02-14,2,7
74,264,4,2016-02-13,2016-02-15,2016-02-15,2,7
75,587,4,2016-02-14,2016-02-15,2016-02-17,2,6
76,9,3,2016-02-16,2016-02-16,NULL,2,6
77,385,4,2016-02-16,2016-02-19,2016-02-19,1,2
78,1182,4,2016-02-16,2016-02-18,2016-02-19,2,7
79,529,4,2016-02-17,2016-02-20,2016-02-20,1,3
80,397,4,2016-02-17,2016-02-20,2016-02-19,2,6
81,521,4,2016-02-17,2016-02-19,2016-02-18,2,6
82,1223,4,2016-02-18,2016-02-21,2016-02-20,2,6
83,393,4,2016-02-19,2016-02-20,2016-02-20,1,3
84,317,4,2016-02-20,2016-02-22,2016-02-21,2,7
85,1174,4,2016-02-20,2016-02-23,2016-02-21,2,7
86,276,4,2016-02-21,2016-02-22,2016-02-23,2,7
87,516,4,2016-02-21,2016-02-22,2016-02-23,2,6
88,1069,4,2016-02-21,2016-02-22,2016-02-23,2,6
89,668,4,2016-02-21,2016-02-24,2016-02-24,3,8
90,414,4,2016-02-23,2016-02-25,2016-02-24,2,7
91,648,4,2016-02-25,2016-02-27,2016-02-28,1,2
92,1309,4,2016-02-25,2016-02-28,2016-02-28,2,7
93,1328,4,2016-02-26,2016-02-28,2016-02-27,1,3
94,929,4,2016-02-27,2016-02-28,2016-02-29,1,2
95,218,4,2016-02-27,2016-02-29,2016-02-28,2,7
96,1094,4,2016-02-27,2016-02-29,2016-02-28,2,7
97,204,4,2016-02-28,2016-02-29,2016-03-01,2,7
98,1194,4,2016-02-28,2016-02-29,2016-02-29,2,6
99,1165,4,2016-02-29,2016-03-01,2016-03-03,3,9
100,1237,4,2016-03-01,2016-03-04,2016-03-03,2,7
101,271,4,2016-03-01,2016-03-04,2016-03-04,3,8
102,336,4,2016-03-02,2016-03-05,2016-03-03,2,7
103,991,4,2016-03-03,2016-03-06,2016-03-05,1,2
104,7,4,2016-03-03,2016-03-05,2016-03-05,2,7
105,306,4,2016-03-03,2016-03-05,2016-03-04,2,7
106,422,4,2016-03-04,2016-03-05,2016-03-05,3,9
107,633,4,2016-03-06,2016-03-09,2016-03-09,1,2
108,12,4,2016-03-06,2016-03-09,2016-03-07,2,6
109,1255,4,2016-03-06,2016-03-09,2016-03-09,2,6
110,677,4,2016-03-06,2016-03-08,2016-03-09,3,9
111,630,4,2016-03-07,2016-03-10,2016-03-10,2,6
112,469,4,2016-03-08,2016-03-11,2016-03-10,2,6
113,1078,4,2016-03-08,2016-03-11,2016-03-11,2,6
