MENU_ID,MENU_TYPE_ID,MENU_TYPE,TRUCK_BRAND_NAME,MENU_ITEM_ID,MENU_ITEM_NAME,ITEM_CATEGORY,ITEM_SUBCATEGORY,COST_OF_GOODS_USD,SALE_PRICE_USD,MENU_ITEM_HEALTH_METRICS_OBJ
10001,1,Ice Cream,Freezing Point,10,Lemonade,Beverage,Cold Option,1,4,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""Lemons"",
        ""Sugar"",
        ""Water""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 10
}"
10002,1,Ice Cream,Freezing Point,11,Sugar Cone,Dessert,Cold Option,3,6,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""One Scoop"",
        ""Sugar Cone""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 11
}"
10003,1,Ice Cream,Freezing Point,12,Waffle Cone,Dessert,Cold Option,3,6,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""One Scoop"",
        ""Waffle Cone""
      ],
      ""is_dairy_free_flag"": ""N"",
      ""is_gluten_free_flag"": ""N"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 12
}"
10004,1,Ice Cream,Freezing Point,13,Two Scoop Bowl,Dessert,Cold Option,3,7,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""Two Scoops""
      ],
      ""is_dairy_free_flag"": ""N"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 13
}"
10005,1,Ice Cream,Freezing Point,14,Bottled Water,Beverage,Cold Option,1,2,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""12 Oz Bottle Water""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""Y"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 14
}"
10006,1,Ice Cream,Freezing Point,15,Bottled Soda,Beverage,Cold Option,1,3,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""12 Oz Bottle Soda""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 15
}"
10007,1,Ice Cream,Freezing Point,16,Ice Tea,Beverage,Cold Option,1,3,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""12 Oz Bottle Ice Tea""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 16
}"
10008,1,Ice Cream,Freezing Point,17,Ice Cream Sandwich,Dessert,Cold Option,1,4,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""Ice Cream Sandwich""
      ],
      ""is_dairy_free_flag"": ""N"",
      ""is_gluten_free_flag"": ""N"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 17
}"
10009,1,Ice Cream,Freezing Point,18,Mango Sticky Rice,Dessert,Cold Option,1,5,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""Sweet Mango"",
        ""Sticky Salted Rice"",
        ""Coconut Milk"",
        ""Sesame Seeds""
      ],
      ""is_dairy_free_flag"": ""N"",
      ""is_gluten_free_flag"": ""N"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 18
}"
10010,1,Ice Cream,Freezing Point,19,Popsicle,Dessert,Cold Option,1,3,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""Popsicle""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 19
}"
10011,2,BBQ,Smoky BBQ,21,Two Meat Plate,Main,Hot Option,9,14,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""Brisket"",
        ""Pulled Pork"",
        ""White Bread"",
        ""Beans""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""N"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 21
}"
10012,2,BBQ,Smoky BBQ,22,Three Meat Plate,Main,Hot Option,10,17,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""Brisket"",
        ""Pulled Pork"",
        ""Sausage"",
        ""White Bread"",
        ""Beans""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""N"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 22
}"
10013,2,BBQ,Smoky BBQ,23,Pulled Pork Sandwich,Main,Warm Option,7,12,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""Pulled Pork"",
        ""White Bun"",
        ""Beans""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""N"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 23
}"
10014,2,BBQ,Smoky BBQ,24,Bottled Water,Beverage,Cold Option,1,2,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""12 Oz Bottle Water""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""Y"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 24
}"
10015,2,BBQ,Smoky BBQ,25,Bottled Soda,Beverage,Cold Option,1,3,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""12 Oz Bottle Soda""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 25
}"
10016,2,BBQ,Smoky BBQ,26,Ice Tea,Beverage,Cold Option,1,3,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""12 Oz Bottle Ice Tea""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 26
}"
10017,2,BBQ,Smoky BBQ,27,Spring Mix Salad,Snack,Cold Option,2,6,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""Baby Lettuce"",
        ""Spinach"",
        ""Arugula"",
        ""Green Mustard"",
        ""Raspberry Vinaigrette"",
        ""Sliced Almonds""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""Y"",
      ""is_nut_free_flag"": ""N""
    }
  ],
  ""menu_item_id"": 27
}"
10018,2,BBQ,Smoky BBQ,28,Rack of Pork Ribs,Main,Hot Option,11,21,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""Rack of Ribs"",
        ""BBQ Sauce""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""N"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 28
}"
10019,2,BBQ,Smoky BBQ,29,Fried Pickles,Snack,Warm Option,1,6,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""Fried Pickles""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""N"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 29
}"
10020,3,Tacos,Guac n' Roll,31,Two Taco Combo Plate,Main,Warm Option,6,9,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""Steak Taco"",
        ""Chicken Taco"",
        ""Taco Shell"",
        ""Rice"",
        ""Beans"",
        ""Avocado"",
        ""Cilantro"",
        ""Salsa""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""N"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 31
}"
10021,3,Tacos,Guac n' Roll,32,Three Taco Combo Plate,Main,Warm Option,7,11,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""Steak Taco"",
        ""Chicken Taco"",
        ""Taco Shell"",
        ""Vegetarian Taco"",
        ""Rice"",
        ""Beans""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""N"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 32
}"
10022,3,Tacos,Guac n' Roll,33,Veggie Taco Bowl,Main,Warm Option,6,10,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""Fajitas"",
        ""Taco Shell"",
        ""Rice"",
        ""Beans"",
        ""Cilantro"",
        ""Salsa""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""N"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 33
}"
10023,3,Tacos,Guac n' Roll,34,Bottled Water,Beverage,Cold Option,1,2,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""12 Oz Bottle Water""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""Y"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 34
}"
10024,3,Tacos,Guac n' Roll,35,Bottled Soda,Beverage,Cold Option,1,3,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""12 Oz Bottle Soda""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 35
}"
10025,3,Tacos,Guac n' Roll,36,Ice Tea,Beverage,Cold Option,1,3,"{
  ""menu_item_health_metrics"": [
    {
      ""ingredients"": [
        ""12 Oz Bottle Ice Tea""
      ],
      ""is_dairy_free_flag"": ""Y"",
      ""is_gluten_free_flag"": ""Y"",
      ""is_healthy_flag"": ""N"",
      ""is_nut_free_flag"": ""Y""
    }
  ],
  ""menu_item_id"": 36
}"
