"category_id","name","last_update"
1,"Action","2022-02-15 12:46:27+03"
2,"Animation","2022-02-15 12:46:27+03"
3,"Children","2022-02-15 12:46:27+03"
4,"Classics","2022-02-15 12:46:27+03"
5,"Comedy","2022-02-15 12:46:27+03"
6,"Documentary","2022-02-15 12:46:27+03"
7,"Drama","2022-02-15 12:46:27+03"
8,"Family","2022-02-15 12:46:27+03"
9,"Foreign","2022-02-15 12:46:27+03"
10,"Games","2022-02-15 12:46:27+03"
11,"Horror","2022-02-15 12:46:27+03"
12,"Music","2022-02-15 12:46:27+03"
13,"New","2022-02-15 12:46:27+03"
14,"Sci-Fi","2022-02-15 12:46:27+03"
15,"Sports","2022-02-15 12:46:27+03"
16,"Travel","2022-02-15 12:46:27+03"
