database,schema,table,column,type
WORLDWIDE_ADDRESSES,ADDRESS,OPENADDRESS,CITY,TEXT
WORLDWIDE_ADDRESSES,ADDRESS,OPENADDRESS,COUNTRY,TEXT
WORLDWIDE_ADDRESSES,ADDRESS,OPENADDRESS,DISTRICT,TEXT
WORLDWIDE_ADDRESSES,ADDRESS,OPENADDRESS,HASH,TEXT
WORLDWIDE_ADDRESSES,ADDRESS,OPENADDRESS,ID,TEXT
WORLDWIDE_ADDRESSES,ADDRESS,OPENADDRESS,LAT,FLOAT
WORLDWIDE_ADDRESSES,ADDRESS,OPENADDRESS,LON,FLOAT
WORLDWIDE_ADDRESSES,ADDRESS,OPENADDRESS,NUMBER,TEXT
WORLDWIDE_ADDRESSES,ADDRESS,OPENADDRESS,POSTCODE,TEXT
WORLDWIDE_ADDRESSES,ADDRESS,OPENADDRESS,REGION,TEXT
WORLDWIDE_ADDRESSES,ADDRESS,OPENADDRESS,STREET,TEXT
WORLDWIDE_ADDRESSES,ADDRESS,OPENADDRESS,UNIT,TEXT
