product_id,product_name,brand_id,category_id,model_year,list_price
1,Trek 820 - 2016,9,6,2016,379.99
2,Ritchey Timberwolf Frameset - 2016,5,6,2016,749.99
3,Surly Wednesday Frameset - 2016,8,6,2016,999.99
4,Trek Fuel EX 8 29 - 2016,9,6,2016,2899.99
5,Heller Shagamaw Frame - 2016,3,6,2016,1320.99
6,Surly Ice Cream Truck Frameset - 2016,8,6,2016,469.99
7,Trek Slash 8 27.5 - 2016,9,6,2016,3999.99
8,Trek Remedy 29 Carbon Frameset - 2016,9,6,2016,1799.99
9,Trek Conduit+ - 2016,9,5,2016,2999.99
10,Surly Straggler - 2016,8,4,2016,1549
11,Surly Straggler 650b - 2016,8,4,2016,1680.99
12,Electra Townie Original 21D - 2016,1,3,2016,549.99
13,Electra Cruiser 1 (24-Inch) - 2016,1,3,2016,269.99
14,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,3,2016,269.99
15,Electra Moto 1 - 2016,1,3,2016,529.99
16,Electra Townie Original 7D EQ - 2016,1,3,2016,599.99
17,Pure Cycles Vine 8-Speed - 2016,4,3,2016,429
18,Pure Cycles Western 3-Speed - Women's - 2015/2016,4,3,2016,449
19,Pure Cycles William 3-Speed - 2016,4,3,2016,449
20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99
21,Electra Cruiser 1 (24-Inch) - 2016,1,1,2016,269.99
22,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,1,2016,269.99
23,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,1,2016,299.99
24,Electra Townie Original 21D - 2016,1,2,2016,549.99
25,Electra Townie Original 7D - 2015/2016,1,2,2016,499.99
26,Electra Townie Original 7D EQ - 2016,1,2,2016,599.99
27,Surly Big Dummy Frameset - 2017,8,6,2017,999.99
28,Surly Karate Monkey 27.5+ Frameset - 2017,8,6,2017,2499.99
29,Trek X-Caliber 8 - 2017,9,6,2017,999.99
30,Surly Ice Cream Truck Frameset - 2017,8,6,2017,999.99
31,Surly Wednesday - 2017,8,6,2017,1632.99
32,Trek Farley Alloy Frameset - 2017,9,6,2017,469.99
33,Surly Wednesday Frameset - 2017,8,6,2017,469.99
34,Trek Session DH 27.5 Carbon Frameset - 2017,9,6,2017,469.99
35,Sun Bicycles Spider 3i - 2017,7,6,2017,832.99
36,Surly Troll Frameset - 2017,8,6,2017,832.99
37,Haro Flightline One ST - 2017,2,6,2017,379.99
38,Haro Flightline Two 26 Plus - 2017,2,6,2017,549.99
39,Trek Stache 5 - 2017,9,6,2017,1499.99
40,Trek Fuel EX 9.8 29 - 2017,9,6,2017,4999.99
41,Haro Shift R3 - 2017,2,6,2017,1469.99
42,Trek Fuel EX 5 27.5 Plus - 2017,9,6,2017,2299.99
43,Trek Fuel EX 9.8 27.5 Plus - 2017,9,6,2017,5299.99
44,Haro SR 1.1 - 2017,2,6,2017,539.99
45,Haro SR 1.2 - 2017,2,6,2017,869.99
46,Haro SR 1.3 - 2017,2,6,2017,1409.99
47,Trek Remedy 9.8 - 2017,9,6,2017,5299.99
48,Trek Emonda S 4 - 2017,9,7,2017,1499.99
49,Trek Domane SL 6 - 2017,9,7,2017,3499.99
